('Fold : ', 0)
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.1 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use SSE4.2 instructions, but these are available on your machine and could speed up CPU computations.
W tensorflow/core/platform/cpu_feature_guard.cc:45] The TensorFlow library wasn't compiled to use AVX instructions, but these are available on your machine and could speed up CPU computations.
Iter 160, Minibatch Loss= 30.894010, Training Accuracy= 0.99333
Iter 161, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 162, Minibatch Loss= 40.546094, Training Accuracy= 0.99333
Iter 163, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 164, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 165, Minibatch Loss= 77.083384, Training Accuracy= 0.99333
Iter 166, Minibatch Loss= 112.181875, Training Accuracy= 0.98667
Iter 167, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 168, Minibatch Loss= 21.414843, Training Accuracy= 0.99333
Iter 169, Minibatch Loss= 154.021591, Training Accuracy= 0.97333
Iter 170, Minibatch Loss= 19.192083, Training Accuracy= 0.99333
Iter 171, Minibatch Loss= 86.013257, Training Accuracy= 0.98000
Iter 172, Minibatch Loss= 76.857162, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 174, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 175, Minibatch Loss= 21.823438, Training Accuracy= 0.99333
Iter 176, Minibatch Loss= 39.068125, Training Accuracy= 0.99333
Iter 177, Minibatch Loss= 132.340673, Training Accuracy= 0.98667
Iter 178, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 179, Minibatch Loss= 88.311300, Training Accuracy= 0.99333
Iter 180, Minibatch Loss= 56.277033, Training Accuracy= 0.99333
Iter 181, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 182, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 183, Minibatch Loss= 58.084585, Training Accuracy= 0.99333
Iter 184, Minibatch Loss= 60.038544, Training Accuracy= 0.99333
Iter 185, Minibatch Loss= 205.917053, Training Accuracy= 0.98667
Iter 186, Minibatch Loss= 53.942240, Training Accuracy= 0.99333
Iter 187, Minibatch Loss= 161.530935, Training Accuracy= 0.99333
Iter 188, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 189, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 190, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 191, Minibatch Loss= 81.152033, Training Accuracy= 0.99333
Iter 192, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 193, Minibatch Loss= 17.622604, Training Accuracy= 0.99333
Iter 194, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 251.848592, Training Accuracy= 0.98667
Iter 199, Minibatch Loss= 74.566587, Training Accuracy= 0.98667

Training complete!
('accuracy : ', 0.90000000000000002)
('precision : ', 0.93333333333333324)
('recall : ', 0.90000000000000002)
('f1 : ', 0.89333333333333331)


('Fold : ', 4)
Iter 0, Minibatch Loss= 115862.044271, Training Accuracy= 0.17333
Iter 1, Minibatch Loss= 105248.953125, Training Accuracy= 0.23333
Iter 2, Minibatch Loss= 97246.273438, Training Accuracy= 0.25333
Iter 3, Minibatch Loss= 69756.058594, Training Accuracy= 0.30000
Iter 4, Minibatch Loss= 61803.882812, Training Accuracy= 0.26000
Iter 5, Minibatch Loss= 53059.227865, Training Accuracy= 0.36667
Iter 6, Minibatch Loss= 46382.970052, Training Accuracy= 0.34000
Iter 7, Minibatch Loss= 47096.598958, Training Accuracy= 0.32667
Iter 8, Minibatch Loss= 45843.372396, Training Accuracy= 0.37333
Iter 9, Minibatch Loss= 26005.534505, Training Accuracy= 0.55333
Iter 10, Minibatch Loss= 30506.019531, Training Accuracy= 0.52667
Iter 11, Minibatch Loss= 20620.307943, Training Accuracy= 0.57333
Iter 12, Minibatch Loss= 22268.889323, Training Accuracy= 0.53333
Iter 13, Minibatch Loss= 23194.675130, Training Accuracy= 0.54667
Iter 14, Minibatch Loss= 17588.817383, Training Accuracy= 0.63333
Iter 15, Minibatch Loss= 18406.864258, Training Accuracy= 0.62000
Iter 16, Minibatch Loss= 14301.805990, Training Accuracy= 0.64667
Iter 17, Minibatch Loss= 16557.754232, Training Accuracy= 0.61333
Iter 18, Minibatch Loss= 9259.943685, Training Accuracy= 0.72667
Iter 19, Minibatch Loss= 15254.512370, Training Accuracy= 0.72000
Iter 20, Minibatch Loss= 14835.798503, Training Accuracy= 0.68000
Iter 21, Minibatch Loss= 12381.869792, Training Accuracy= 0.68667
Iter 22, Minibatch Loss= 15474.749674, Training Accuracy= 0.61333
Iter 23, Minibatch Loss= 7986.377116, Training Accuracy= 0.70667
Iter 24, Minibatch Loss= 9861.943522, Training Accuracy= 0.75333
Iter 25, Minibatch Loss= 8320.831380, Training Accuracy= 0.74000
Iter 26, Minibatch Loss= 5301.582438, Training Accuracy= 0.78667
Iter 27, Minibatch Loss= 6280.915690, Training Accuracy= 0.79333
Iter 28, Minibatch Loss= 8986.682129, Training Accuracy= 0.73333
Iter 29, Minibatch Loss= 4872.908285, Training Accuracy= 0.82667
Iter 30, Minibatch Loss= 4005.039551, Training Accuracy= 0.83333
Iter 31, Minibatch Loss= 4860.800944, Training Accuracy= 0.81333
Iter 32, Minibatch Loss= 4542.321045, Training Accuracy= 0.81333
Iter 33, Minibatch Loss= 5180.117513, Training Accuracy= 0.81333
Iter 34, Minibatch Loss= 4383.930786, Training Accuracy= 0.82000
Iter 35, Minibatch Loss= 2376.574992, Training Accuracy= 0.86000
Iter 36, Minibatch Loss= 4009.387288, Training Accuracy= 0.82667
Iter 37, Minibatch Loss= 3060.582642, Training Accuracy= 0.88000
Iter 38, Minibatch Loss= 2006.890910, Training Accuracy= 0.86667
Iter 39, Minibatch Loss= 3448.319173, Training Accuracy= 0.85333
Iter 40, Minibatch Loss= 2466.314982, Training Accuracy= 0.86000
Iter 41, Minibatch Loss= 2097.882884, Training Accuracy= 0.90667
Iter 42, Minibatch Loss= 2544.293945, Training Accuracy= 0.90667
Iter 43, Minibatch Loss= 1320.706538, Training Accuracy= 0.90667
Iter 44, Minibatch Loss= 1089.564738, Training Accuracy= 0.95333
Iter 45, Minibatch Loss= 1458.363159, Training Accuracy= 0.90667
Iter 46, Minibatch Loss= 1812.441589, Training Accuracy= 0.92667
Iter 47, Minibatch Loss= 793.579183, Training Accuracy= 0.94000
Iter 48, Minibatch Loss= 2622.064046, Training Accuracy= 0.88000
Iter 49, Minibatch Loss= 719.447617, Training Accuracy= 0.94000
Iter 50, Minibatch Loss= 2388.847412, Training Accuracy= 0.91333
Iter 51, Minibatch Loss= 1117.632935, Training Accuracy= 0.92667
Iter 52, Minibatch Loss= 1144.511332, Training Accuracy= 0.92667
Iter 53, Minibatch Loss= 1060.576355, Training Accuracy= 0.92667
Iter 54, Minibatch Loss= 639.967051, Training Accuracy= 0.94000
Iter 55, Minibatch Loss= 521.300700, Training Accuracy= 0.96000
Iter 56, Minibatch Loss= 679.466919, Training Accuracy= 0.95333
Iter 57, Minibatch Loss= 946.289266, Training Accuracy= 0.94000
Iter 58, Minibatch Loss= 412.258830, Training Accuracy= 0.96000
Iter 59, Minibatch Loss= 862.846670, Training Accuracy= 0.93333
Iter 60, Minibatch Loss= 457.535019, Training Accuracy= 0.95333
Iter 61, Minibatch Loss= 584.236552, Training Accuracy= 0.97333
Iter 62, Minibatch Loss= 975.961914, Training Accuracy= 0.94000
Iter 63, Minibatch Loss= 441.906261, Training Accuracy= 0.95333
Iter 64, Minibatch Loss= 827.708715, Training Accuracy= 0.94667
Iter 65, Minibatch Loss= 194.780894, Training Accuracy= 0.97333
Iter 66, Minibatch Loss= 512.077075, Training Accuracy= 0.94667
Iter 67, Minibatch Loss= 581.428151, Training Accuracy= 0.96000
Iter 68, Minibatch Loss= 177.719694, Training Accuracy= 0.98000
Iter 69, Minibatch Loss= 1027.558044, Training Accuracy= 0.94667
Iter 70, Minibatch Loss= 427.432699, Training Accuracy= 0.96667
Iter 71, Minibatch Loss= 137.597486, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 474.477020, Training Accuracy= 0.96667
Iter 73, Minibatch Loss= 287.277283, Training Accuracy= 0.98667
Iter 74, Minibatch Loss= 636.947090, Training Accuracy= 0.95333
Iter 75, Minibatch Loss= 593.277934, Training Accuracy= 0.96000
Iter 76, Minibatch Loss= 183.348854, Training Accuracy= 0.98000
Iter 77, Minibatch Loss= 330.674479, Training Accuracy= 0.96667
Iter 78, Minibatch Loss= 200.623177, Training Accuracy= 0.98000
Iter 79, Minibatch Loss= 735.925115, Training Accuracy= 0.95333
Iter 80, Minibatch Loss= 344.290304, Training Accuracy= 0.97333
Iter 81, Minibatch Loss= 423.232458, Training Accuracy= 0.95333
Iter 82, Minibatch Loss= 715.915471, Training Accuracy= 0.95333
Iter 83, Minibatch Loss= 250.808586, Training Accuracy= 0.96667
Iter 84, Minibatch Loss= 596.962972, Training Accuracy= 0.95333
Iter 85, Minibatch Loss= 271.597305, Training Accuracy= 0.96667
Iter 86, Minibatch Loss= 128.640516, Training Accuracy= 0.97333
Iter 87, Minibatch Loss= 120.421197, Training Accuracy= 0.96667
Iter 88, Minibatch Loss= 290.330340, Training Accuracy= 0.96667
Iter 89, Minibatch Loss= 368.676768, Training Accuracy= 0.96000
Iter 90, Minibatch Loss= 318.168528, Training Accuracy= 0.97333
Iter 91, Minibatch Loss= 321.717183, Training Accuracy= 0.97333
Iter 92, Minibatch Loss= 349.408854, Training Accuracy= 0.97333
Iter 93, Minibatch Loss= 283.237994, Training Accuracy= 0.97333
Iter 94, Minibatch Loss= 159.810635, Training Accuracy= 0.98000
Iter 95, Minibatch Loss= 206.575600, Training Accuracy= 0.98000
Iter 96, Minibatch Loss= 274.441154, Training Accuracy= 0.97333
Iter 97, Minibatch Loss= 217.686157, Training Accuracy= 0.97333
Iter 98, Minibatch Loss= 109.470367, Training Accuracy= 0.99333
Iter 99, Minibatch Loss= 342.728699, Training Accuracy= 0.97333
Iter 100, Minibatch Loss= 228.430654, Training Accuracy= 0.98667
Iter 101, Minibatch Loss= 126.072601, Training Accuracy= 0.98000
Iter 102, Minibatch Loss= 28.965207, Training Accuracy= 0.99333
Iter 103, Minibatch Loss= 66.817551, Training Accuracy= 0.99333
Iter 104, Minibatch Loss= 126.815257, Training Accuracy= 0.98667
Iter 105, Minibatch Loss= 31.689166, Training Accuracy= 0.98000
Iter 106, Minibatch Loss= 16.124036, Training Accuracy= 0.99333
Iter 107, Minibatch Loss= 150.435811, Training Accuracy= 0.98667
Iter 108, Minibatch Loss= 152.494293, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 148.590780, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 415.441086, Training Accuracy= 0.97333
Iter 111, Minibatch Loss= 26.326719, Training Accuracy= 0.99333
Iter 112, Minibatch Loss= 212.508224, Training Accuracy= 0.97333
Iter 113, Minibatch Loss= 70.185315, Training Accuracy= 0.98000
Iter 114, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 115, Minibatch Loss= 52.899272, Training Accuracy= 0.99333
Iter 116, Minibatch Loss= 207.621358, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 364.895640, Training Accuracy= 0.98000
Iter 118, Minibatch Loss= 21.712605, Training Accuracy= 0.98667
Iter 119, Minibatch Loss= 196.692444, Training Accuracy= 0.96667
Iter 120, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 121, Minibatch Loss= 188.741199, Training Accuracy= 0.98667
Iter 122, Minibatch Loss= 62.441352, Training Accuracy= 0.98000
Iter 123, Minibatch Loss= 133.369324, Training Accuracy= 0.97333
Iter 124, Minibatch Loss= 228.142467, Training Accuracy= 0.97333
Iter 125, Minibatch Loss= 19.577031, Training Accuracy= 0.99333
Iter 126, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 127, Minibatch Loss= 60.390366, Training Accuracy= 0.98667
Iter 128, Minibatch Loss= 24.793582, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 363.901978, Training Accuracy= 0.96667
Iter 130, Minibatch Loss= 34.066172, Training Accuracy= 0.99333
Iter 131, Minibatch Loss= 2.404557, Training Accuracy= 0.99333
Iter 132, Minibatch Loss= 34.721446, Training Accuracy= 0.98667
Iter 133, Minibatch Loss= 205.245125, Training Accuracy= 0.98667
Iter 134, Minibatch Loss= 196.627979, Training Accuracy= 0.98667
Iter 135, Minibatch Loss= 54.690131, Training Accuracy= 0.98667
Iter 136, Minibatch Loss= 71.221614, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 81.808075, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 76.698725, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 140, Minibatch Loss= 53.263151, Training Accuracy= 0.97333
Iter 141, Minibatch Loss= 10.291172, Training Accuracy= 0.99333
Iter 142, Minibatch Loss= 128.021983, Training Accuracy= 0.99333
Iter 143, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 144, Minibatch Loss= 162.171580, Training Accuracy= 0.99333
Iter 145, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 146, Minibatch Loss= 18.910625, Training Accuracy= 0.99333
Iter 147, Minibatch Loss= 85.990753, Training Accuracy= 0.98667
Iter 148, Minibatch Loss= 157.510915, Training Accuracy= 0.99333
Iter 149, Minibatch Loss= 100.984581, Training Accuracy= 0.98667
Iter 150, Minibatch Loss= 55.935155, Training Accuracy= 0.99333
Iter 151, Minibatch Loss= 0.096250, Training Accuracy= 0.99333
Iter 152, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 153, Minibatch Loss= 88.923543, Training Accuracy= 0.98667
Iter 154, Minibatch Loss= 55.490519, Training Accuracy= 0.99333
Iter 155, Minibatch Loss= 302.471619, Training Accuracy= 0.98667
Iter 156, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 157, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 158, Minibatch Loss= 213.456034, Training Accuracy= 0.99333
Iter 159, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 160, Minibatch Loss= 236.887248, Training Accuracy= 0.98667
Iter 161, Minibatch Loss= 12.613281, Training Accuracy= 0.99333
Iter 162, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 163, Minibatch Loss= 101.681091, Training Accuracy= 0.99333
Iter 164, Minibatch Loss= 329.943357, Training Accuracy= 0.96667
Iter 165, Minibatch Loss= 35.500417, Training Accuracy= 0.99333
Iter 166, Minibatch Loss= 62.461355, Training Accuracy= 0.99333
Iter 167, Minibatch Loss= 33.312970, Training Accuracy= 0.98667
Iter 168, Minibatch Loss= 297.833079, Training Accuracy= 0.98000
Iter 169, Minibatch Loss= 43.182500, Training Accuracy= 0.99333
Iter 170, Minibatch Loss= 0.969857, Training Accuracy= 0.99333
Iter 171, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 172, Minibatch Loss= 26.449298, Training Accuracy= 0.99333
Iter 173, Minibatch Loss= 235.907572, Training Accuracy= 0.98667
Iter 174, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 175, Minibatch Loss= 58.688227, Training Accuracy= 0.99333
Iter 176, Minibatch Loss= 0.727969, Training Accuracy= 0.99333
Iter 177, Minibatch Loss= 23.996198, Training Accuracy= 0.99333
Iter 178, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 179, Minibatch Loss= 18.024356, Training Accuracy= 0.99333
Iter 180, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 181, Minibatch Loss= 32.507942, Training Accuracy= 0.99333
Iter 182, Minibatch Loss= 140.770549, Training Accuracy= 0.98000
Iter 183, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 184, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 185, Minibatch Loss= 126.568099, Training Accuracy= 0.98000
Iter 186, Minibatch Loss= 52.393566, Training Accuracy= 0.98667
Iter 187, Minibatch Loss= 302.201543, Training Accuracy= 0.98667
Iter 188, Minibatch Loss= 90.346453, Training Accuracy= 0.98667
Iter 189, Minibatch Loss= 326.396667, Training Accuracy= 0.99333
Iter 190, Minibatch Loss= 314.432210, Training Accuracy= 0.97333
Iter 191, Minibatch Loss= 65.095144, Training Accuracy= 0.98667
Iter 192, Minibatch Loss= 131.468124, Training Accuracy= 0.98000
Iter 193, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 194, Minibatch Loss= 75.380885, Training Accuracy= 0.99333
Iter 195, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 196, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 197, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 198, Minibatch Loss= 52.217682, Training Accuracy= 0.99333
Iter 199, Minibatch Loss= 22.345807, Training Accuracy= 0.99333

Training complete!
('accuracy : ', 0.89473684210526316)
('precision : ', 0.92280701754385952)
('recall : ', 0.89473684210526316)
('f1 : ', 0.89122807017543859)


('Fold : ', 5)
Iter 0, Minibatch Loss= 90709.588542, Training Accuracy= 0.18000
Iter 1, Minibatch Loss= 83422.718750, Training Accuracy= 0.20000
Iter 2, Minibatch Loss= 57802.337240, Training Accuracy= 0.21333
Iter 3, Minibatch Loss= 43647.091146, Training Accuracy= 0.28667
Iter 4, Minibatch Loss= 36804.950521, Training Accuracy= 0.32667
Iter 5, Minibatch Loss= 30370.880859, Training Accuracy= 0.40667
Iter 6, Minibatch Loss= 33795.972005, Training Accuracy= 0.39333
Iter 7, Minibatch Loss= 21612.639323, Training Accuracy= 0.46667
Iter 8, Minibatch Loss= 22198.429036, Training Accuracy= 0.48000
Iter 9, Minibatch Loss= 23266.120443, Training Accuracy= 0.48667
Iter 10, Minibatch Loss= 19742.611654, Training Accuracy= 0.53333
Iter 11, Minibatch Loss= 18509.074870, Training Accuracy= 0.50000
Iter 12, Minibatch Loss= 16008.428385, Training Accuracy= 0.60000
Iter 13, Minibatch Loss= 9824.419922, Training Accuracy= 0.64667
Iter 14, Minibatch Loss= 7944.099609, Training Accuracy= 0.72000
Iter 15, Minibatch Loss= 11102.600911, Training Accuracy= 0.63333
Iter 16, Minibatch Loss= 8492.961426, Training Accuracy= 0.71333
Iter 17, Minibatch Loss= 6668.368652, Training Accuracy= 0.74667
Iter 18, Minibatch Loss= 6664.016602, Training Accuracy= 0.70000
Iter 19, Minibatch Loss= 6603.224121, Training Accuracy= 0.74000
Iter 20, Minibatch Loss= 5329.501302, Training Accuracy= 0.78667
Iter 21, Minibatch Loss= 5068.504395, Training Accuracy= 0.76000
Iter 22, Minibatch Loss= 6805.082520, Training Accuracy= 0.72000
Iter 23, Minibatch Loss= 4190.869385, Training Accuracy= 0.76000
Iter 24, Minibatch Loss= 3349.625814, Training Accuracy= 0.85333
Iter 25, Minibatch Loss= 4096.533529, Training Accuracy= 0.83333
Iter 26, Minibatch Loss= 3843.984294, Training Accuracy= 0.82667
Iter 27, Minibatch Loss= 2143.776388, Training Accuracy= 0.87333
Iter 28, Minibatch Loss= 2464.997803, Training Accuracy= 0.81333
Iter 29, Minibatch Loss= 2278.298197, Training Accuracy= 0.86667
Iter 30, Minibatch Loss= 1690.099040, Training Accuracy= 0.87333
Iter 31, Minibatch Loss= 3030.049479, Training Accuracy= 0.82000
Iter 32, Minibatch Loss= 1401.182393, Training Accuracy= 0.90000
Iter 33, Minibatch Loss= 2481.986552, Training Accuracy= 0.85333
Iter 34, Minibatch Loss= 1772.836466, Training Accuracy= 0.86667
Iter 35, Minibatch Loss= 1014.367025, Training Accuracy= 0.92667
Iter 36, Minibatch Loss= 957.026326, Training Accuracy= 0.90000
Iter 37, Minibatch Loss= 379.998306, Training Accuracy= 0.94000
Iter 38, Minibatch Loss= 1424.091532, Training Accuracy= 0.90667
Iter 39, Minibatch Loss= 575.569208, Training Accuracy= 0.94667
Iter 40, Minibatch Loss= 1626.360942, Training Accuracy= 0.90000
Iter 41, Minibatch Loss= 871.679176, Training Accuracy= 0.94000
Iter 42, Minibatch Loss= 1192.032979, Training Accuracy= 0.93333
Iter 43, Minibatch Loss= 318.091484, Training Accuracy= 0.96667
Iter 44, Minibatch Loss= 737.038320, Training Accuracy= 0.94667
Iter 45, Minibatch Loss= 813.082896, Training Accuracy= 0.93333
Iter 46, Minibatch Loss= 420.278910, Training Accuracy= 0.94000
Iter 47, Minibatch Loss= 430.304693, Training Accuracy= 0.94667
Iter 48, Minibatch Loss= 734.055868, Training Accuracy= 0.96000
Iter 49, Minibatch Loss= 510.953735, Training Accuracy= 0.96000
Iter 50, Minibatch Loss= 993.217529, Training Accuracy= 0.92000
Iter 51, Minibatch Loss= 386.927839, Training Accuracy= 0.93333
Iter 52, Minibatch Loss= 937.164001, Training Accuracy= 0.96000
Iter 53, Minibatch Loss= 480.616536, Training Accuracy= 0.95333
Iter 54, Minibatch Loss= 493.432460, Training Accuracy= 0.96000
Iter 55, Minibatch Loss= 586.059601, Training Accuracy= 0.95333
Iter 56, Minibatch Loss= 181.951141, Training Accuracy= 0.97333
Iter 57, Minibatch Loss= 455.360174, Training Accuracy= 0.94667
Iter 58, Minibatch Loss= 316.040151, Training Accuracy= 0.96667
Iter 59, Minibatch Loss= 250.702006, Training Accuracy= 0.94667
Iter 60, Minibatch Loss= 386.808701, Training Accuracy= 0.95333
Iter 61, Minibatch Loss= 376.230143, Training Accuracy= 0.94667
Iter 62, Minibatch Loss= 436.897044, Training Accuracy= 0.96667
Iter 63, Minibatch Loss= 84.569244, Training Accuracy= 0.98000
Iter 64, Minibatch Loss= 412.345500, Training Accuracy= 0.95333
Iter 65, Minibatch Loss= 103.752513, Training Accuracy= 0.97333
Iter 66, Minibatch Loss= 497.041368, Training Accuracy= 0.94000
Iter 67, Minibatch Loss= 402.994486, Training Accuracy= 0.96667
Iter 68, Minibatch Loss= 325.231232, Training Accuracy= 0.95333
Iter 69, Minibatch Loss= 129.736766, Training Accuracy= 0.98000
Iter 70, Minibatch Loss= 162.684921, Training Accuracy= 0.98667
Iter 71, Minibatch Loss= 117.937736, Training Accuracy= 0.98000
Iter 72, Minibatch Loss= 217.240751, Training Accuracy= 0.96000
Iter 73, Minibatch Loss= 114.748020, Training Accuracy= 0.98000
Iter 74, Minibatch Loss= 100.880676, Training Accuracy= 0.98667
Iter 75, Minibatch Loss= 155.206797, Training Accuracy= 0.98000
Iter 76, Minibatch Loss= 174.858625, Training Accuracy= 0.98000
Iter 77, Minibatch Loss= 181.073710, Training Accuracy= 0.98000
Iter 78, Minibatch Loss= 143.371376, Training Accuracy= 0.98667
Iter 79, Minibatch Loss= 387.705322, Training Accuracy= 0.98000
Iter 80, Minibatch Loss= 358.438782, Training Accuracy= 0.96667
Iter 81, Minibatch Loss= 517.447703, Training Accuracy= 0.96667
Iter 82, Minibatch Loss= 161.366512, Training Accuracy= 0.98000
Iter 83, Minibatch Loss= 90.427999, Training Accuracy= 0.99333
Iter 84, Minibatch Loss= 121.119258, Training Accuracy= 0.97333
Iter 85, Minibatch Loss= 865.377116, Training Accuracy= 0.95333
Iter 86, Minibatch Loss= 76.138179, Training Accuracy= 0.98000
Iter 87, Minibatch Loss= 135.990702, Training Accuracy= 0.98667
Iter 88, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 89, Minibatch Loss= 44.076977, Training Accuracy= 0.98667
Iter 90, Minibatch Loss= 9.163854, Training Accuracy= 0.99333
Iter 91, Minibatch Loss= 35.338802, Training Accuracy= 0.98667
Iter 92, Minibatch Loss= 306.364628, Training Accuracy= 0.96667
Iter 93, Minibatch Loss= 219.011019, Training Accuracy= 0.98000
Iter 94, Minibatch Loss= 158.367261, Training Accuracy= 0.98667
Iter 95, Minibatch Loss= 99.077932, Training Accuracy= 0.96667
Iter 96, Minibatch Loss= 82.752706, Training Accuracy= 0.98667
Iter 97, Minibatch Loss= 260.185099, Training Accuracy= 0.97333
Iter 98, Minibatch Loss= 266.051193, Training Accuracy= 0.97333
Iter 99, Minibatch Loss= 9.868489, Training Accuracy= 0.98667
Iter 100, Minibatch Loss= 95.278330, Training Accuracy= 0.99333
Iter 101, Minibatch Loss= 179.406794, Training Accuracy= 0.96667
Iter 102, Minibatch Loss= 51.132110, Training Accuracy= 0.98000
Iter 103, Minibatch Loss= 268.503021, Training Accuracy= 0.98000
Iter 104, Minibatch Loss= 35.935287, Training Accuracy= 0.99333
Iter 105, Minibatch Loss= 79.187775, Training Accuracy= 0.98667
Iter 106, Minibatch Loss= 268.946431, Training Accuracy= 0.96000
Iter 107, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 108, Minibatch Loss= 64.913335, Training Accuracy= 0.99333
Iter 109, Minibatch Loss= 0.228880, Training Accuracy= 0.99333
Iter 110, Minibatch Loss= 74.856328, Training Accuracy= 0.99333
Iter 111, Minibatch Loss= 156.320841, Training Accuracy= 0.99333
Iter 112, Minibatch Loss= 83.341093, Training Accuracy= 0.98000
Iter 113, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 114, Minibatch Loss= 239.711853, Training Accuracy= 0.99333
Iter 115, Minibatch Loss= 207.808024, Training Accuracy= 0.98667
Iter 116, Minibatch Loss= 109.644171, Training Accuracy= 0.98667
Iter 117, Minibatch Loss= 504.416239, Training Accuracy= 0.98000
Iter 118, Minibatch Loss= 23.651642, Training Accuracy= 0.98667
Iter 119, Minibatch Loss= 1.475703, Training Accuracy= 0.99333
Iter 120, Minibatch Loss= 12.631692, Training Accuracy= 0.99333
Iter 121, Minibatch Loss= 135.598099, Training Accuracy= 0.98000
Iter 122, Minibatch Loss= 247.060054, Training Accuracy= 0.98000
Iter 123, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 124, Minibatch Loss= 106.897970, Training Accuracy= 0.98000
Iter 125, Minibatch Loss= 140.770467, Training Accuracy= 0.98667
Iter 126, Minibatch Loss= 167.952082, Training Accuracy= 0.98667
Iter 127, Minibatch Loss= 107.546173, Training Accuracy= 0.99333
Iter 128, Minibatch Loss= 5.279219, Training Accuracy= 0.99333
Iter 129, Minibatch Loss= 44.282654, Training Accuracy= 0.99333
Iter 130, Minibatch Loss= 18.819349, Training Accuracy= 0.98667
Iter 131, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 132, Minibatch Loss= 77.944061, Training Accuracy= 0.98667
Iter 133, Minibatch Loss= 221.960393, Training Accuracy= 0.98000
Iter 134, Minibatch Loss= 120.721677, Training Accuracy= 0.98000
Iter 135, Minibatch Loss= 84.137863, Training Accuracy= 0.99333
Iter 136, Minibatch Loss= 46.509218, Training Accuracy= 0.98667
Iter 137, Minibatch Loss= 100.277161, Training Accuracy= 0.98667
Iter 138, Minibatch Loss= 13.166849, Training Accuracy= 0.99333
Iter 139, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 140, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 141, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
Iter 142, Minibatch Loss= 2.991719, Training Accuracy= 0.99333
Iter 143, Minibatch Loss= 40.800156, Training Accuracy= 0.99333
Iter 144, Minibatch Loss= 0.000000, Training Accuracy= 1.00000
